priceid,sku,title,Customer,Price
15167,1076,PV VEST,XL PLUS MENSWEAR,30 BIG & KING SIZE
15168,1219,22160 SUIT,ESSENDON BRIDAL FORMAL,85 / 25 / 115 BIG SIZE
15169,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",ESSENDON BRIDAL FORMAL,55
15170,1198,1303/96 SUIT,ESSENDON BRIDAL FORMAL,75
15171,526,PC SHIRT,EAGLESHAMS MENSWEAR,11
15172,1250,15501 VEST,BAIRNSDALE MENSWEAR PTY,16.5
15173,474,BOY TRIM SUIT,NEW PARK SUIT HIRE,65 / 20 
15174,1212,15501 SUIT,MACQUARIE SUIT HIRE,55 / 16.50
15175,1197,22160/5 SUIT ,BYRNE CLOTHING,75 / 22.50
15176,1241,MF W2 DINNER JACKET ONLY,SHAZZAM TORONTO,65
15177,327,WC SHIRT,SHAZZAM TORONTO,22 / 25BIG
15178,822,PURE COTTON POLO,MICK T'S CLOTHING,14.5
15179,747,COTTON POLO ,MICK T'S CLOTHING,11
15180,1239,1034 MEN SHIRT,STANLEY JOHNS,20
15181,1251,2 BUCKLES BELT IN BOX,STRICTLY FORMAL,15
15182,1207,1319/3 SUIT,MAN ABOUT FORMAL,75 / 21 VEST & TRS
15183,842,8944/633 SUIT,BRUCE'S MENSLAND,79
15184,150,"1034 SHIRT  , 1090 SHIRT",BRUCE'S MENSLAND,20
15185,1227,15501/3 SUIT,GUNN'S MENSLAND,55 / 16.50
15186,1252,P1898/28 SUIT,SPOT ON FASHION,80
15187,1218,1319 SUIT,CLASSICS FORMAL WEAR,65 / 19.5
15188,1243,5110 SHIRT,MILTONS GEAR,20 / 23 BIG
15189,1243,5110 SHIRT,BONAMAN-F/F 22/04/15,20 / 23 BIG
15190,1227,15501/3 SUIT,GENTLEMENS OUTFIT - NEWCASTLE,55 / 16.50
15191,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",STANLEY JOHNS,55 / 16.50
15192,1253,"1512/2,1513/9,1517/1,1512/1 PLAIN POLO SHIRT",MS MENSWEAR- CAMPBELLTOWN,10
15193,1254,NEW POLY COTTON POLO,MS MENSWEAR- CAMPBELLTOWN,11
15194,788,3208 W2 DINNER SUIT,KISS THE BRIDE,99 / 35 / 129 BIG
15195,1255,5110,MAN ABOUT FORMAL,22 / 23BIG
15196,738,1090,MAN ABOUT FORMAL,22 / 23 BIG
15197,1197,22160/5 SUIT ,STANLEY'S MENSWEAR,75  /22.50 
15198,1072,37089/2 SUIT,PAKMAN MENSWEAR,59
15199,654,1090 SHIRT ,CAROLANN BRIDAL WEAR/ THE WEDDING SHOP ON THE MOVE,22 / 25 BIG
15200,1239,1034 MEN SHIRT,LES LEES,16.5
15201,535,3208 W2 SUIT,PARKES MENSLAND,95
15202,327,WC SHIRT,PARKES MENSLAND,22 / 25 BIG
15203,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",WALLACE & CO,55 / 65 BIG / 16.5 
15204,327,WC SHIRT,THE HUT MENSWEAR,21 / 24 BIG
15205,1256,5330/39 SUIT ,M&S,75 / 22.50
15206,474,BOY TRIM SUIT,MORE 4 MEN,65 / 20 
15207,444,RFS/AF028 TRS,MORE 4 MEN,15
15208,1243,5110 SHIRT,SK MENSWEAR BLACK TOWN,20 / 23 
15209,1257,81792/7 SUIT,SPOT ON FASHION,35 SPECIAL
15210,1191,"15501/2, 15501/3 SUIT",MAVERIC CLOTHING,55 / 15
15211,1258,BOY PV VEST & TRS,CARNARVON MENSWEAR 5% DISCOUNT,18.54
15212,1024,1390/9 SUIT,CARNARVON MENSWEAR 5% DISCOUNT,76 / 21
15213,740,MF SHIRT ,THE ILLAWARRA WEDDING CENTRE,18.5 / 20.5 
15214,886,1199/58 BOY SUIT,NEW PARIS ,50
15215,1259,NZ01,NEW PARIS ,60 SPECIAL
15216,1260,NZ02,NEW PARIS ,85
15217,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",DEAVINS ,50 / 60 BIG / 15 TRS
15218,612,3189 SUIT,NEW PARK SUIT HIRE ,80 / 20
15219,1261,ALL PHONE SHIRT,M.W.C. CLOTHING,5
15220,1262,RFS TRS  (CLEARANCE),M.W.C. CLOTHING,10
15221,1263,ISU007 SUIT,SK MENSWEAR BLACK TOWN,50
15222,1264,MF W2 JACKET WHITE / BLACK,JUST FOR HIM,65
15223,1265,"15501/2 , 3 SUIT",C & J KERRIS MENSWEAR,55 / 16.50
15224,1266,"15501/2, 3 SUIT ",ROMEO & JULIET,55 / 16.5
15225,1267,JOEL SHOE,MENSLAND PORT PIRIE,38
15226,808,BOY V069,BEST DRESSED MAN,19
15227,1243,5110 SHIRT,THE WEDDING CENTRE,20 /23
15228,851,"1034 , 1090 BOY SHIRT",THE WEDDING CENTRE,18
15229,654,1090 SHIRT ,THE WEDDING CENTRE,20 / 23 BIG
15230,1268,1503/1 JACKET ,JOE LICHAA,65
15231,662,COL SUIT,TREVOR WEST,75 / 58.5 JACKET ONLY
15232,328,SUIT BAG,SUITS 2U,1.8
15233,1207,1319/3 SUIT,BEST DRESSED MAN,65 / 19.50
15234,851,"1034 , 1090 BOY SHIRT",GRANT RULES MENSWEAR,20
15235,1269,"22160/4, 22160/5 SUIT",GA HENDERSON & SON,75 / 22.5  / 105 BIG
15236,1270,WHITE VEST WITH SATIN LAPEL W2,JOE LICHAA,25
15237,1008,6365 SHOES,R K THOMAS,35
15238,1271,22160/3 SUIT,R K THOMAS,79
15239,1243,5110 SHIRT,R K THOMAS,22.5
15240,740,MF SHIRT ,TRENDZ ON NAPIER,19.5
15241,654,1090 SHIRT ,TRENDZ ON NAPIER,19.5
15242,1187,"15501/2 SUIT , 15501/3 SUIT,5502 SUIT",TRENDZ ON NAPIER,55
15243,1272,TWO BUCKLE BELT,REUBEN F. SCARF NEWCASTLE / CHERMSIDE,15
15244,1273,1319 BOY SUIT,TOP RYDE TAILORING,53.9
15245,1274,1034 SHIRT BOY,TOP RYDE TAILORING,20
15246,526,PC SHIRT,TOM WILKINS MENSWEAR,10
15247,1197,22160/5 SUIT ,BONANNO'S MENSWEAR,MEN 75 / 90/ 22.50  BIG BOY 65 / 20
15248,1055,MF COLOUR SUIT,W TITLEY & CO,75 / 23 VEST & TRS
15249,1273,1319 BOY SUIT,ELITE SHOP,59
15250,1275,17089/13 BOY SUIT (NO TRIM),ELITE SHOP,59
15251,603,MF COL SUIT ,CAROLANN BRIDAL WEAR/ THE WEDDING SHOP ON THE MOVE,75
15252,253,"TRIM SUIT, T128 (W2)",EAGLESHAMS MENSWEAR,95 / 25 
15253,582,P/V SUIT,TEDESCO'S OF CASTLE HILL,70.00 / 90 BIG
15254,1267,JOEL SHOE,EDGE SUIT OUTLET & RENTALS,38.5
15255,1198,1303/96 SUIT,STREET SMART CLOTHING,75 / 22.50
15256,1150,A5330/39 SUIT,STREET SMART CLOTHING,75 / 22.50 
15257,1276,JOEL,LEOTTA'S EMPROIUM,38.5
