sku,title
741,DEMIN SHORTS
742,"2012  POLO , 6126,6124"
743,2012 POLO
744,2013 COTTON POLO 
745,COTTON POLO SHIRT
746,COLOUR TRS
747,COTTON POLO 
748,2013 POLO SHIRT
749,MF BOY SUIT
750,POLY 2013
751,2013 POLO
752,81570/1 JACKET ONLY 
753,9024/241 NZ01 SPECIAL
754,2103/62 PURE WOOL SUIT 
755,MF VEST BIG SIZE
756,"8018, 1986"
757,CLEARANCE SHIRT
758,POLO
759,POLO SHIRT
760,2013 PLO SHIRT & COTTON
761,COTTON & 2013 POLO SHIRT
762,POLY VISICO BOY SUIT
763,"FASHION PV SUIT 1126/5, 7, 8"
764,TRIM SUIT W8
765,1199/58 SUIT
766,1027/1 SUIT
767,FASHION SUIT 1207/2
768,1027/2 FASHION SUIT
769,PURE WOOL SOR STOCK
770,"V069, 1689 SHIRT"
771,5061/2 VEST
772,9024/241 SUIT
773,"8016 , 8014 SHIRT"
774,POLY VISICO SUIT
775,2013 NEW POLO
776,NZ03 SUIT
777,"8014 , 8016 SHIRT"
778,1027/2 SUIT
779,1207 TP SUIT
780,1207/1 SUIT
781,TP1027/1 & 2  SUIT
782,2018/4 SUIT TRIM
783,KID V069
784,PC
785,JM02 JACKET 
786,ASSORTED FASHION TIE
787,"8016, 8014 SHIRT"
788,3208 W2 DINNER SUIT
789,COLBEST SHIRT
790,9599/8 SUIT
791,CLEARANCE VEST
792,1688 SHIRT
793,"398/23, 7616, 9024/241(NZ02),K5018/1(GREY)"
794,2013 POLO SHIRT 6130/7...
795,POLO SHIRT 6132/7 ...
796,POLY VISECO
797,9268/13 SUIT
798,8702/2 TRS
799,JB 9 SHIRT
800,Y6377 SHIRT
801,CLEARANCE POLO
802,8720/2 SUIT
803,JAGGER SOX
804,CLEARANCE TRS
805,"3189,9268/13,1199/58,10272,10271 SUIT"
806,V069 SHIRT BOY
807,POLO T SHIRT 2014
808,BOY V069
809,MF L/S SHIRT
810,BOY PV VEST
811,SPECIAL PV TRS
812,PV VEST / TRS
813,NZ03 TRS
814,VARCE SATIN TIE
815,CARRY BAGS
816,NZ SUIT F2017
817,"8014, 8016 SHIRT"
818,V069 MEN SHIRT
819,DENIM SHORT
820,DRY ICE JEANS
821,BOY POLY VISICO SUIT
822,PURE COTTON POLO
823,"COTTON TRS  (711,311)"
824,T - SHIRT
825,3104W/67 3 PCS SUIT
826,RFS PW TRS A117/2
827,BOARD SHORTS
828,3209 TAIL JACKET ONLY
829,ASSORTED S/S SHIRTS
830,3600 POLY VISCOVE SUIT
831,CARGO PANT
832,TIE CLIP
833,BOY V069 SHIRT
834,MF SHIRT BOY
835,NZ 02 SUIT
836,BOY SHOES
837,8702 NAVY SUIT
838,1126/5 SUIT
839,N14 1203/6 SUIT
840,16153 SHOES
841,WORKWEAR JEAN
842,8944/633 SUIT
843,6365
844,K5018
845,SPECIAL MAKE SHOES
846,15501/2 & 3 BULK ORDER
847,SPORT JACKET  9246
848,8973 JACKET
849,16151 SHOES
850,KID POLY TRS
851,"1034 , 1090 BOY SHIRT"
852,1027/1 BOY SUIT
853,VARCE V TIE
854,VARCE HANKIE
855,8793 JACKET ONLY
856,SHINY BOW TIE
857,BRACE
858,3600/60 TRS
859,83020/7 SUIT SPECIAL
860,6103 & ELI  SHOES
861,MOJO SHIRT
862,8018
863,3474 SHIRT
864,KID V069 SHIRT
865,5502/5 VEST &  TRS PER SET
866,WING COLLAR SHIRT
867,SPECIAL CLEARANCE SUIT
868,F2017 SUIT
869,1027/1 BOY TRIM SUIT
870,MF WHITE W2 DINNER SUIT
871,MICRO STRETCH TRS
872,9346/3 SPORTS COAT
873,JM03 JACKET 
874,MICO STRETCH TRS
875,"F0191, F2017 SUIT"
876,3600/ 60 PV SUIT
877,8944/633 PV SUIT
878,81570/1 SUIT 
879,1943 SHIRT SPECIAL
880,5018/1 SPECIAL PV SUIT
881,17089/15 3 PCS SUIT
882,1059
883,1065
884,6501 JACKET
885,MF WHT/BLK W2 SUIT
886,1199/58 BOY SUIT
887,1090 SHIRT 1034 SHIRT MEN
888,SPECIAL MAKE FAT BOY TIE
889,SPECIAL MAKE BOW TIE
890,CIEC T-SHIRT
891,P/W PANTS GREY
892,COTTON SHIRT BOY SS
893,COTTON SHIRT GIRL SS
894,COTTON SHIRT MEN SS
895,P/W GIRLS SKIRT
896,NAVY SPORT SHORT
897,LADIES KNITTED CARDIGAN
898,1080/6 SHOES
899,TWIST SUIT
900,5502/4 BLK SUIT 
901,FASHION PV SUIT 82212/3 SUIT
902,K5018/6 TRS
903,BELTS IN BOX
904,"1031, 1312, S203 SHIRT"
